Date,Home,Away,HG,AG,Res,prediction,Hit?,odds,AvgH,AvgD,AvgA
5/9/2021,Racing Club,Banfield,0,0,Draw,Racing Club,0,-1,2.42,3.03,3.07
6/9/2021,River Plate,Independiente,1,1,Draw,River Plate,0,-1,2.22,3.09,3.39
6/9/2021,Estudiantes L.P.,Argentinos Jrs,1,1,Draw,Estudiantes L.P.,0,-1,2.4,2.89,3.28
7/9/2021,Velez Sarsfield,Union de Santa Fe,4,0,Velez Sarsfield,Draw,0,-1,1.89,3.37,4.07
13/9/2021,Aldosivi,Godoy Cruz,1,4,Godoy Cruz,Godoy Cruz,1,1.4,2.85,3.35,2.4
13/9/2021,Sarmiento Junin,Huracan,0,0,Draw,Draw,1,1.96,2.88,2.96,2.61
13/9/2021,Independiente,Lanus,0,1,Lanus,Independiente,0,-1,1.94,3.4,3.86
13/9/2021,San Lorenzo,Racing Club,1,1,Draw,Draw,1,1.92,3.45,2.92,2.29
14/9/2021,Gimnasia L.P.,Velez Sarsfield,0,0,Draw,Velez Sarsfield,0,-1,4.11,3.28,1.93
14/9/2021,Talleres Cordoba,Platense,2,1,Talleres Cordoba,Talleres Cordoba,1,0.7,1.7,3.49,5.18
14/9/2021,Arsenal Sarandi,Colon Santa FE,0,0,Draw,Colon Santa FE,0,-1,3.57,3.32,2.06
14/9/2021,Central Cordoba,Atl. Tucuman,2,0,Central Cordoba,Atl. Tucuman,0,-1,2.52,3.09,2.88
15/9/2021,Boca Juniors,Defensa y Justicia,0,0,Draw,Boca Juniors,0,-1,1.8,3.17,5.14
15/9/2021,Union de Santa Fe,Estudiantes L.P.,0,2,Estudiantes L.P.,Estudiantes L.P.,1,1.19,3.47,3.1,2.19
15/9/2021,Argentinos Jrs,Patronato,1,1,Draw,Draw,1,1.9900000000000002,2.03,2.99,4.21
15/9/2021,Banfield,Rosario Central,1,2,Rosario Central,Rosario Central,1,2.06,2.33,3.22,3.06
16/9/2021,Newells Old Boys,River Plate,1,4,River Plate,River Plate,1,0.5700000000000001,5.47,4.01,1.57
18/9/2021,Godoy Cruz,Sarmiento Junin,1,1,Draw,Godoy Cruz,0,-1,1.98,3.36,3.74
18/9/2021,Velez Sarsfield,Aldosivi,3,2,Velez Sarsfield,Velez Sarsfield,1,0.42999999999999994,1.43,4.32,7.53
18/9/2021,Racing Club,Talleres Cordoba,1,2,Talleres Cordoba,Draw,0,-1,2.76,2.89,2.78
19/9/2021,Atl. Tucuman,Boca Juniors,1,2,Boca Juniors,Boca Juniors,1,1.29,3.44,2.94,2.29
19/9/2021,Patronato,Estudiantes L.P.,1,2,Estudiantes L.P.,Estudiantes L.P.,1,1.0299999999999998,3.94,3.11,2.03
19/9/2021,Colon Santa FE,Central Cordoba,1,0,Colon Santa FE,Central Cordoba,0,-1,2.13,3.15,3.55
19/9/2021,Platense,Argentinos Jrs,0,0,Draw,Argentinos Jrs,0,-1,3.98,3.09,2.03
19/9/2021,Huracan,Independiente,0,1,Independiente,Draw,0,-1,3.47,2.9,2.3
20/9/2021,River Plate,Arsenal Sarandi,1,0,River Plate,River Plate,1,0.25,1.25,5.58,11.27
20/9/2021,Gimnasia L.P.,Union de Santa Fe,1,0,Gimnasia L.P.,Draw,0,-1,2.67,2.84,2.92
20/9/2021,Lanus,Newells Old Boys,1,2,Newells Old Boys,Lanus,0,-1,2.18,3.37,3.22
20/9/2021,Rosario Central,San Lorenzo,1,0,Rosario Central,Rosario Central,1,1.1400000000000001,2.14,3.42,3.24
21/9/2021,Defensa y Justicia,Banfield,0,0,Draw,Draw,1,2.04,2.28,3.04,3.32
24/9/2021,Sarmiento Junin,Velez Sarsfield,0,1,Velez Sarsfield,Velez Sarsfield,1,0.9199999999999999,4.06,3.29,1.92
25/9/2021,Estudiantes L.P.,Platense,1,1,Draw,Estudiantes L.P.,0,-1,1.82,3.29,4.58
25/9/2021,Aldosivi,Gimnasia L.P.,1,3,Gimnasia L.P.,Gimnasia L.P.,1,1.56,2.84,3.11,2.56
25/9/2021,Arsenal Sarandi,Lanus,1,0,Arsenal Sarandi,Lanus,0,-1,3.82,3.41,1.94
25/9/2021,Talleres Cordoba,Rosario Central,4,1,Talleres Cordoba,Talleres Cordoba,1,0.6799999999999999,1.68,3.84,4.75
25/9/2021,Banfield,Atl. Tucuman,2,0,Banfield,Banfield,1,1.06,2.06,3.22,3.7
26/9/2021,Central Cordoba,River Plate,1,3,River Plate,River Plate,1,0.6100000000000001,5.12,3.98,1.61
26/9/2021,Union de Santa Fe,Patronato,2,0,Union de Santa Fe,Patronato,0,-1,2.39,2.93,3.25
26/9/2021,San Lorenzo,Defensa y Justicia,2,1,San Lorenzo,Draw,0,-1,2.9,2.94,2.61
26/9/2021,Independiente,Godoy Cruz,1,4,Godoy Cruz,Independiente,0,-1,1.91,3.35,4.03
27/9/2021,Boca Juniors,Colon Santa FE,1,0,Boca Juniors,Boca Juniors,1,0.75,1.75,3.17,5.53
27/9/2021,Argentinos Jrs,Racing Club,2,0,Argentinos Jrs,Draw,0,-1,2.33,2.81,3.52
28/9/2021,Newells Old Boys,Huracan,0,1,Huracan,Huracan,1,1.7599999999999998,2.7,2.97,2.76
1/10/2021,Aldosivi,Union de Santa Fe,1,2,Union de Santa Fe,Union de Santa Fe,1,1.6099999999999999,2.81,3.03,2.61
2/10/2021,Lanus,Central Cordoba,2,1,Lanus,Lanus,1,0.98,1.98,3.35,3.77
2/10/2021,Godoy Cruz,Newells Old Boys,2,2,Draw,Godoy Cruz,0,-1,1.95,3.54,3.68
2/10/2021,Platense,Patronato,0,0,Draw,Platense,0,-1,2.57,2.93,2.97
2/10/2021,Huracan,Arsenal Sarandi,1,0,Huracan,Draw,0,-1,1.86,3.22,4.57
2/10/2021,Atl. Tucuman,San Lorenzo,0,0,Draw,San Lorenzo,0,-1,2.14,3.23,3.42
3/10/2021,Velez Sarsfield,Independiente,3,3,Draw,Velez Sarsfield,0,-1,2.06,3.11,3.86
3/10/2021,Gimnasia L.P.,Sarmiento Junin,0,1,Sarmiento Junin,Draw,0,-1,1.99,3.13,4.06
3/10/2021,Rosario Central,Argentinos Jrs,0,1,Argentinos Jrs,Argentinos Jrs,1,1.25,3.2,3.23,2.25
3/10/2021,River Plate,Boca Juniors,2,1,River Plate,River Plate,1,1.2799999999999998,2.28,3.01,3.35
4/10/2021,Racing Club,Estudiantes L.P.,1,1,Draw,Estudiantes L.P.,0,-1,2.9,2.83,2.7
4/10/2021,Defensa y Justicia,Talleres Cordoba,3,0,Defensa y Justicia,Talleres Cordoba,0,-1,2.77,2.91,2.75
5/10/2021,Colon Santa FE,Banfield,0,0,Draw,Draw,1,1.9700000000000002,2.26,2.97,3.46
8/10/2021,Union de Santa Fe,Platense,1,2,Platense,Union de Santa Fe,0,-1,1.99,3.09,4.17
8/10/2021,Central Cordoba,Huracan,1,2,Huracan,Huracan,1,2.33,2.35,2.94,3.33
8/10/2021,Estudiantes L.P.,Rosario Central,2,2,Draw,Estudiantes L.P.,0,-1,1.63,3.9,5.04
9/10/2021,Newells Old Boys,Velez Sarsfield,1,2,Velez Sarsfield,Velez Sarsfield,1,0.9199999999999999,3.75,3.56,1.92
9/10/2021,Argentinos Jrs,Defensa y Justicia,0,2,Defensa y Justicia,Draw,0,-1,2.47,2.94,3.11
9/10/2021,Sarmiento Junin,Aldosivi,3,0,Sarmiento Junin,Sarmiento Junin,1,1.2200000000000002,2.22,3.14,3.37
9/10/2021,Patronato,Racing Club,1,2,Racing Club,Draw,0,-1,2.23,2.97,3.55
9/10/2021,Banfield,River Plate,0,1,River Plate,River Plate,1,1.8900000000000001,2.51,3.08,2.89
10/10/2021,Boca Juniors,Lanus,4,2,Boca Juniors,Boca Juniors,1,0.74,1.74,3.43,4.95
11/10/2021,Arsenal Sarandi,Godoy Cruz,0,0,Draw,Godoy Cruz,0,-1,3.08,3.29,2.28
11/10/2021,San Lorenzo,Colon Santa FE,1,2,Colon Santa FE,Draw,0,-1,2.98,2.87,2.6
11/10/2021,Independiente,Gimnasia L.P.,1,1,Draw,Independiente,0,-1,1.89,3.13,4.54
12/10/2021,Talleres Cordoba,Atl. Tucuman,2,0,Talleres Cordoba,Talleres Cordoba,1,0.54,1.54,4.0,5.92
15/10/2021,Godoy Cruz,Central Cordoba,0,0,Draw,Godoy Cruz,0,-1,1.71,3.8,4.48
15/10/2021,Rosario Central,Patronato,3,2,Rosario Central,Rosario Central,1,1.35,2.35,3.23,2.99
15/10/2021,Racing Club,Platense,0,1,Platense,Racing Club,0,-1,2.03,3.02,4.03
16/10/2021,Defensa y Justicia,Estudiantes L.P.,2,1,Defensa y Justicia,Defensa y Justicia,1,1.2599999999999998,2.26,2.94,3.44
16/10/2021,Velez Sarsfield,Arsenal Sarandi,0,0,Draw,Velez Sarsfield,0,-1,1.51,4.01,6.27
16/10/2021,Sarmiento Junin,Union de Santa Fe,3,4,Union de Santa Fe,Sarmiento Junin,0,-1,2.5,3.0,2.96
16/10/2021,Gimnasia L.P.,Newells Old Boys,1,0,Gimnasia L.P.,Gimnasia L.P.,1,1.12,2.12,3.24,3.43
16/10/2021,Lanus,Banfield,1,1,Draw,Lanus,0,-1,2.47,3.15,2.86
17/10/2021,Huracan,Boca Juniors,0,3,Boca Juniors,Draw,0,-1,3.49,2.91,2.26
17/10/2021,Atl. Tucuman,Argentinos Jrs,4,3,Atl. Tucuman,Argentinos Jrs,0,-1,2.66,2.92,2.83
17/10/2021,Colon Santa FE,Talleres Cordoba,1,0,Colon Santa FE,Talleres Cordoba,0,-1,2.36,3.07,3.12
17/10/2021,Aldosivi,Independiente,1,0,Aldosivi,Independiente,0,-1,3.73,3.25,2.02
18/10/2021,River Plate,San Lorenzo,3,1,River Plate,River Plate,1,0.3799999999999999,1.38,4.63,7.65
19/10/2021,Platense,Rosario Central,1,1,Draw,Platense,0,-1,2.38,3.22,2.94
19/10/2021,Union de Santa Fe,Racing Club,1,1,Draw,Racing Club,0,-1,2.28,2.96,3.41
19/10/2021,Patronato,Defensa y Justicia,3,3,Draw,Defensa y Justicia,0,-1,3.12,3.04,2.37
20/10/2021,Central Cordoba,Velez Sarsfield,1,2,Velez Sarsfield,Velez Sarsfield,1,0.98,3.75,3.33,1.98
20/10/2021,Arsenal Sarandi,Gimnasia L.P.,0,1,Gimnasia L.P.,Draw,0,-1,2.55,2.8,3.11
20/10/2021,San Lorenzo,Lanus,1,3,Lanus,Lanus,1,1.2000000000000002,3.24,3.25,2.2
20/10/2021,Banfield,Huracan,1,4,Huracan,Draw,0,-1,2.27,3.03,3.34
20/10/2021,Estudiantes L.P.,Atl. Tucuman,1,1,Draw,Estudiantes L.P.,0,-1,1.92,3.4,3.89
21/10/2021,Boca Juniors,Godoy Cruz,2,1,Boca Juniors,Boca Juniors,1,0.69,1.69,3.64,5.0
21/10/2021,Argentinos Jrs,Colon Santa FE,3,1,Argentinos Jrs,Draw,0,-1,2.29,3.0,3.35
21/10/2021,Newells Old Boys,Aldosivi,0,0,Draw,Newells Old Boys,0,-1,1.75,3.6,4.55
21/10/2021,Independiente,Sarmiento Junin,1,1,Draw,Sarmiento Junin,0,-1,1.7,3.39,5.31
22/10/2021,Talleres Cordoba,River Plate,0,2,River Plate,River Plate,1,1.48,2.86,3.13,2.48
23/10/2021,Gimnasia L.P.,Central Cordoba,2,2,Draw,Gimnasia L.P.,0,-1,2.13,3.19,3.47
23/10/2021,Defensa y Justicia,Platense,2,1,Defensa y Justicia,Defensa y Justicia,1,0.8500000000000001,1.85,3.31,4.4
24/10/2021,Rosario Central,Racing Club,2,1,Rosario Central,Rosario Central,1,1.1099999999999999,2.11,3.37,3.34
24/10/2021,Colon Santa FE,Estudiantes L.P.,2,1,Colon Santa FE,Estudiantes L.P.,0,-1,2.32,3.09,3.18
24/10/2021,Godoy Cruz,Banfield,2,1,Godoy Cruz,Godoy Cruz,1,0.98,1.98,3.42,3.66
24/10/2021,Huracan,San Lorenzo,2,1,Huracan,Huracan,1,0.9299999999999999,1.93,3.17,4.22
25/10/2021,Velez Sarsfield,Boca Juniors,2,0,Velez Sarsfield,Boca Juniors,0,-1,2.92,2.83,2.66
25/10/2021,Aldosivi,Arsenal Sarandi,2,1,Aldosivi,Draw,0,-1,2.24,3.06,3.38
25/10/2021,Sarmiento Junin,Newells Old Boys,2,1,Sarmiento Junin,Sarmiento Junin,1,1.21,2.21,3.12,3.36
25/10/2021,Atl. Tucuman,Patronato,2,2,Draw,Patronato,0,-1,2.08,3.28,3.51
25/10/2021,Lanus,Talleres Cordoba,3,3,Draw,Talleres Cordoba,0,-1,2.7,3.19,2.59
25/10/2021,River Plate,Argentinos Jrs,3,0,River Plate,River Plate,1,0.75,1.75,3.42,4.86
26/10/2021,Independiente,Union de Santa Fe,1,0,Independiente,Union de Santa Fe,0,-1,2.19,2.96,3.61
29/10/2021,Racing Club,Defensa y Justicia,1,2,Defensa y Justicia,Defensa y Justicia,1,1.6099999999999999,2.86,2.96,2.61
30/10/2021,Argentinos Jrs,Lanus,0,1,Lanus,Lanus,1,1.65,2.57,3.29,2.65
30/10/2021,Arsenal Sarandi,Sarmiento Junin,1,0,Arsenal Sarandi,Sarmiento Junin,0,-1,2.85,2.95,2.63
30/10/2021,Platense,Atl. Tucuman,4,1,Platense,Platense,1,1.7200000000000002,2.72,3.15,2.62
30/10/2021,Banfield,Velez Sarsfield,2,1,Banfield,Velez Sarsfield,0,-1,3.52,3.03,2.2
30/10/2021,Talleres Cordoba,Huracan,1,0,Talleres Cordoba,Huracan,0,-1,1.92,3.34,4.01
31/10/2021,Boca Juniors,Gimnasia L.P.,0,1,Gimnasia L.P.,Boca Juniors,0,-1,1.68,3.48,5.42
31/10/2021,San Lorenzo,Godoy Cruz,1,0,San Lorenzo,Godoy Cruz,0,-1,2.77,3.27,2.5
31/10/2021,Union de Santa Fe,Rosario Central,3,1,Union de Santa Fe,Rosario Central,0,-1,1.9,3.45,4.01
31/10/2021,Newells Old Boys,Independiente,1,0,Newells Old Boys,Independiente,0,-1,3.14,3.11,2.34
31/10/2021,Estudiantes L.P.,River Plate,1,1,Draw,River Plate,0,-1,4.31,3.46,1.82
1/11/2021,Patronato,Colon Santa FE,2,0,Patronato,Colon Santa FE,0,-1,2.66,3.01,2.79
2/11/2021,Central Cordoba,Aldosivi,0,0,Draw,Central Cordoba,0,-1,1.74,3.64,4.54
5/11/2021,Defensa y Justicia,Rosario Central,3,0,Defensa y Justicia,Defensa y Justicia,1,0.69,1.69,3.89,4.61
6/11/2021,Lanus,Estudiantes L.P.,1,1,Draw,Lanus,0,-1,2.2,3.26,3.26
6/11/2021,Colon Santa FE,Platense,3,0,Colon Santa FE,Platense,0,-1,1.88,3.28,4.39
6/11/2021,Godoy Cruz,Talleres Cordoba,0,2,Talleres Cordoba,Talleres Cordoba,1,1.69,2.65,3.15,2.69
6/11/2021,Independiente,Arsenal Sarandi,3,0,Independiente,Draw,0,-1,1.68,3.54,5.27
6/11/2021,Atl. Tucuman,Racing Club,0,2,Racing Club,Racing Club,1,2.19,2.28,3.2,3.19
7/11/2021,Gimnasia L.P.,Banfield,0,1,Banfield,Gimnasia L.P.,0,-1,2.81,2.97,2.68
7/11/2021,Sarmiento Junin,Central Cordoba,1,3,Central Cordoba,Sarmiento Junin,0,-1,2.53,3.08,2.88
7/11/2021,Velez Sarsfield,San Lorenzo,2,1,Velez Sarsfield,Velez Sarsfield,1,0.6100000000000001,1.61,3.73,5.58
7/11/2021,River Plate,Patronato,5,0,River Plate,River Plate,1,0.33000000000000007,1.33,5.05,8.59
8/11/2021,Newells Old Boys,Union de Santa Fe,1,0,Newells Old Boys,Union de Santa Fe,0,-1,2.98,3.09,2.44
8/11/2021,Huracan,Argentinos Jrs,1,1,Draw,Huracan,0,-1,2.48,2.98,3.03
9/11/2021,Aldosivi,Boca Juniors,0,3,Boca Juniors,Boca Juniors,1,0.6299999999999999,5.66,3.61,1.63
18/11/2021,Union de Santa Fe,Defensa y Justicia,2,3,Defensa y Justicia,Defensa y Justicia,1,1.9,2.48,3.16,2.9
18/11/2021,Patronato,Lanus,3,2,Patronato,Lanus,0,-1,2.62,3.38,2.59
19/11/2021,Banfield,Aldosivi,0,2,Aldosivi,Banfield,0,-1,1.41,4.53,7.54
19/11/2021,Estudiantes L.P.,Huracan,4,1,Estudiantes L.P.,Estudiantes L.P.,1,1.4500000000000002,2.45,3.06,3.03
19/11/2021,San Lorenzo,Gimnasia L.P.,0,1,Gimnasia L.P.,Gimnasia L.P.,1,1.94,2.59,2.96,2.94
20/11/2021,Argentinos Jrs,Godoy Cruz,0,0,Draw,Argentinos Jrs,0,-1,1.84,3.63,4.07
20/11/2021,Talleres Cordoba,Velez Sarsfield,1,1,Draw,Velez Sarsfield,0,-1,2.5,2.96,3.05
20/11/2021,Rosario Central,Atl. Tucuman,3,1,Rosario Central,Rosario Central,1,0.8999999999999999,1.9,3.78,3.64
20/11/2021,Boca Juniors,Sarmiento Junin,2,0,Boca Juniors,Boca Juniors,1,0.3600000000000001,1.36,4.65,8.72
21/11/2021,Central Cordoba,Independiente,1,0,Central Cordoba,Independiente,0,-1,2.92,2.98,2.59
21/11/2021,Arsenal Sarandi,Newells Old Boys,3,1,Arsenal Sarandi,Draw,0,-1,2.36,3.1,3.14
21/11/2021,Racing Club,Colon Santa FE,1,2,Colon Santa FE,Draw,0,-1,2.21,3.15,3.4
22/11/2021,Platense,River Plate,0,1,River Plate,River Plate,1,0.3999999999999999,7.77,4.5,1.4
23/11/2021,Gimnasia L.P.,Talleres Cordoba,5,2,Gimnasia L.P.,Talleres Cordoba,0,-1,3.07,2.98,2.48
23/11/2021,Huracan,Patronato,1,0,Huracan,Patronato,0,-1,1.86,3.44,4.25
23/11/2021,Aldosivi,San Lorenzo,2,0,Aldosivi,San Lorenzo,0,-1,3.23,3.22,2.25
24/11/2021,Godoy Cruz,Estudiantes L.P.,1,3,Estudiantes L.P.,Estudiantes L.P.,1,1.8399999999999999,2.42,3.32,2.84
24/11/2021,Velez Sarsfield,Argentinos Jrs,2,0,Velez Sarsfield,Velez Sarsfield,1,1.04,2.04,3.18,3.86
24/11/2021,Newells Old Boys,Central Cordoba,1,0,Newells Old Boys,Central Cordoba,0,-1,2.65,3.08,2.75
24/11/2021,Sarmiento Junin,Banfield,0,0,Draw,Banfield,0,-1,3.29,3.12,2.27
24/11/2021,Atl. Tucuman,Defensa y Justicia,0,4,Defensa y Justicia,Defensa y Justicia,1,1.0,3.58,3.48,2.0
25/11/2021,Independiente,Boca Juniors,1,0,Independiente,Boca Juniors,0,-1,3.53,2.83,2.33
25/11/2021,Arsenal Sarandi,Union de Santa Fe,0,1,Union de Santa Fe,Union de Santa Fe,1,1.2799999999999998,3.21,3.19,2.28
25/11/2021,Colon Santa FE,Rosario Central,1,4,Rosario Central,Colon Santa FE,0,-1,2.54,3.42,2.64
25/11/2021,Lanus,Platense,3,3,Draw,Lanus,0,-1,1.67,3.91,4.73
26/11/2021,River Plate,Racing Club,4,0,River Plate,River Plate,1,0.3799999999999999,1.38,4.57,8.41
27/11/2021,Talleres Cordoba,Aldosivi,2,0,Talleres Cordoba,Talleres Cordoba,1,0.43999999999999995,1.44,4.45,6.71
27/11/2021,Patronato,Godoy Cruz,0,3,Godoy Cruz,Patronato,0,-1,2.32,3.33,3.01
28/11/2021,Estudiantes L.P.,Velez Sarsfield,1,0,Estudiantes L.P.,Velez Sarsfield,0,-1,2.62,3.09,2.77
28/11/2021,Rosario Central,River Plate,2,2,Draw,River Plate,0,-1,3.54,3.8,1.91
28/11/2021,Argentinos Jrs,Gimnasia L.P.,3,0,Argentinos Jrs,Gimnasia L.P.,0,-1,1.94,3.29,4.02
28/11/2021,Defensa y Justicia,Colon Santa FE,1,1,Draw,Defensa y Justicia,0,-1,1.71,3.64,4.86
29/11/2021,Union de Santa Fe,Atl. Tucuman,3,0,Union de Santa Fe,Union de Santa Fe,1,0.6000000000000001,1.6,3.99,5.33
29/11/2021,Racing Club,Lanus,3,1,Racing Club,Lanus,0,-1,2.76,3.27,2.52
30/11/2021,Central Cordoba,Arsenal Sarandi,5,0,Central Cordoba,Draw,0,-1,1.56,3.98,5.73
30/11/2021,Platense,Huracan,4,2,Platense,Platense,1,2.42,3.42,3.15,2.2
30/11/2021,San Lorenzo,Sarmiento Junin,1,0,San Lorenzo,Sarmiento Junin,0,-1,1.99,3.19,3.99
30/11/2021,Boca Juniors,Newells Old Boys,0,0,Draw,Boca Juniors,0,-1,1.31,5.03,10.34
1/12/2021,Banfield,Independiente,4,1,Banfield,Draw,0,-1,2.67,2.85,2.94
3/12/2021,Central Cordoba,Union de Santa Fe,2,0,Central Cordoba,Central Cordoba,1,1.3199999999999998,2.32,3.13,3.19
3/12/2021,Colon Santa FE,Atl. Tucuman,3,0,Colon Santa FE,Colon Santa FE,1,0.76,1.76,3.69,4.48
4/12/2021,Velez Sarsfield,Patronato,0,0,Draw,Velez Sarsfield,0,-1,1.51,3.92,6.93
4/12/2021,Arsenal Sarandi,Boca Juniors,1,1,Draw,Boca Juniors,0,-1,7.38,4.08,1.46
4/12/2021,Godoy Cruz,Platense,2,2,Draw,Platense,0,-1,1.99,3.49,3.64
4/12/2021,Sarmiento Junin,Talleres Cordoba,1,2,Talleres Cordoba,Talleres Cordoba,1,1.5499999999999998,2.85,3.12,2.55
5/12/2021,Huracan,Racing Club,1,0,Huracan,Racing Club,0,-1,2.09,3.2,3.68
5/12/2021,Lanus,Rosario Central,2,2,Draw,Rosario Central,0,-1,1.61,4.34,4.68
5/12/2021,Gimnasia L.P.,Estudiantes L.P.,4,4,Draw,Estudiantes L.P.,0,-1,3.04,3.0,2.48
5/12/2021,Independiente,San Lorenzo,1,1,Draw,Independiente,0,-1,2.19,3.09,3.52
6/12/2021,River Plate,Defensa y Justicia,2,3,Defensa y Justicia,River Plate,0,-1,1.6,4.0,5.29
6/12/2021,Aldosivi,Argentinos Jrs,3,2,Aldosivi,Argentinos Jrs,0,-1,4.3,3.45,1.85
7/12/2021,Newells Old Boys,Banfield,0,0,Draw,Draw,1,2.13,2.85,3.13,2.54
10/12/2021,Platense,Velez Sarsfield,3,2,Platense,Velez Sarsfield,0,-1,3.34,3.2,2.21
11/12/2021,Estudiantes L.P.,Aldosivi,2,3,Aldosivi,Estudiantes L.P.,0,-1,1.67,3.85,4.78
11/12/2021,Argentinos Jrs,Sarmiento Junin,2,0,Argentinos Jrs,Argentinos Jrs,1,0.42999999999999994,1.43,4.34,7.35
11/12/2021,Patronato,Gimnasia L.P.,0,0,Draw,Gimnasia L.P.,0,-1,2.66,3.2,2.65
11/12/2021,Racing Club,Godoy Cruz,2,1,Racing Club,Godoy Cruz,0,-1,1.9,3.64,3.78
11/12/2021,Rosario Central,Huracan,1,4,Huracan,Rosario Central,0,-1,2.18,3.65,2.97
11/12/2021,Union de Santa Fe,Colon Santa FE,3,0,Union de Santa Fe,Colon Santa FE,0,-1,2.03,3.34,3.64
11/12/2021,Atl. Tucuman,River Plate,1,1,Draw,River Plate,0,-1,3.94,3.98,1.78
12/12/2021,Boca Juniors,Central Cordoba,8,1,Boca Juniors,Central Cordoba,0,-1,1.83,3.26,4.7
12/12/2021,San Lorenzo,Newells Old Boys,3,2,San Lorenzo,Draw,0,-1,2.05,3.35,3.55
12/12/2021,Defensa y Justicia,Lanus,2,1,Defensa y Justicia,Defensa y Justicia,1,0.9299999999999999,1.93,3.83,3.52
13/12/2021,Talleres Cordoba,Independiente,1,2,Independiente,Talleres Cordoba,0,-1,1.88,3.39,4.21
13/12/2021,Banfield,Arsenal Sarandi,0,0,Draw,Banfield,0,-1,1.72,3.7,4.74
